Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",TOURISM EVENTS,Promote San Francisco as a convention destination by providing high quality services,ADM.EIJ.01.13.13,Percentage of client post-convention survey ratings in the above average or higher category. *2014-2015 and 2015-2016 Targets reflect Moscone Center construction that is scheduled to begin fall 2014 and continue through 2016.,Average of client survey responses.  Clients are surveyed after each convention.,"Calculation: The convention operator (SMG) conducts the survey via an online form. All events are surveyed, but not all return the instrument. ",Above target is positive,Percent,0.83,0.87,0.86,0.86,0.8,0.8,0.8,0.7,Per John Noguchi 8/13: Moscone users continue to rate their convention center experiences in the excellent/above average range. The $56M capital improvement project greatly enhanced both the front of house experience and the aging facilty infrastructure. The percentage increase clearly demonstrates that the investment was carefully thought out and efficiently implemented.,"Per John Noguchi 8/13: Another extremely busy and successful convention year at Moscone. As the economy remains strong, convention business continues to thrive, resulting in higher hotel occupancy and ADR figures from the previous year.",F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain a reasonable average maintenance cost per vehicle,ADM.FFJ.03.44.44,Average annual maintenance cost per general purpose vehicle,"For general purpose vehicles that are part of the vehicle leasing program, the average annual maintenance cost for all types of repairs performed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors.  Billing charges calculated by system. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Below target is positive,Currency,1070,1255,1365,1365,1100,1500,1100,1200,Per Dan Coleman 9/9/2013: Maintenance cost has increased with average age of fleet.,,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain a reasonable average maintenance cost per vehicle,ADM.FFJ.03.43.43,Average annual maintenance cost per Police vehicle,"For Police black and white (not undercover) vehicles, the average annual maintenance cost for all types of repairs performed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors.  Billing charges calculated by system. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Below target is positive,Currency,3775,4531,5317,5317,4100,5700,5200,5300, ,Per Dan Coleman 9/9/2013: Maintenance cost has increased with average age of fleet.,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain availability of City vehicles for department use,ADM.FFJ.02.42.42,Percentage of repairs of general purpose vehicles performed in less than 3 days,"For general purpose vehicles that are part of the vehicle leasing program, the elapsed time from creation of a maintainance job order to posting as completed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Above target is positive,Percent,0.67,0.75,0.8,0.8,0.69,0.75,0.7,0.67,"Per Dan Coleman 9/9/2013: In the interest of safety and fleet reduction, we are removing more old lease-program vehicles from service rather than doing major repairs.",,F General Administration & Finance,Yes,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain availability of City vehicles for department use,ADM.FFJ.02.41.41,Percentage of repairs of Police vehicles performed in less than 3 days,"For Police black and white (not undercover) vehicles, the elapsed time from creation of a maintainance job order to posting as completed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Above target is positive,Percent,0.67,0.71,0.6,0.6,0.69,0.65,0.69,0.69,Per Dan Coleman 9/9/2013: Aging of fleet may outweigh department efficiency.,,F General Administration & Finance,Yes,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Increase collection of fines and fees.,ADP.ASH.01.64.64,Amount of fines and fees,"This measure includes all fines and fees collected for APD.  Effective November 2007 the APD transferred the collection of revenues including fines, fees and restitution to the Courts Collections Unit pursuant to a change in state law.   The Courts Collections Unit collects and disburses restituion payments for APD which is not included in this measure and is recorded in the Courts Collections Unit Financial System.",Actual funds collected according to accounting records.,Above target is positive,Currency,231738,386484,67486,461745,230000,260000,267000,267000,Increase in Probation Fees due to system tracking and collection enforcement.,,A Public Protection,Yes,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,ADP.ASH.02.65.65,Percentage of available employees receiving performance appraisals,"This measure represents the percentage of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months in June.",All performance appraisals will be completed in June.,Above target is positive,Percent,1,1,1,1,1,1,1,1,All annual performance appraisals are completed.,,A Public Protection,Yes,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,ADP.ASH.02.66.66,Percentage of eligible APD peace officer employees completing a minimum of 40 hours of mandated training,"The State of California Corrections Standards Authority requires that all Deputy Probation Officers complete a minimum of 40 hours of annual training as prescribed in Title 15 of the California Code of Regulations, Sections 130 et sequitur. The requirement is waived for employees on long term leaves of absence.",The Training Officer collects and retains this data in a computerized training database.  This training database is updated on a monthly basis as proof of completed hours that are received from the Corrections Standards Authority approved training providers.,Above target is positive,Percent,1,1,1,1,1,1,1,1,All Deputy Probation Officers completed and exceeded the minimum of 40 hours of annual training.  Officers completed an average of 151 hours of mandated training.,,A Public Protection,Yes,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,ADP.ASH.02.67.67,Percentage of newly appointed peace officer staff that have completed mandatory CORE training,"The State of California Corrections Standards Authority requires that all peace officer staff completes basic CORE training during the first 12 months of job assignment as prescribed in Title 15 of the California Code of Regulations, Sections 130-132.  The Department has Chief, Chief Deputy, Division Director, Supervising Probation Officer positions that are subject to this requirement during an employee's first year in the classification.",The Training Officer collects and retains this data in a computerized training database.  This training database is updated on a monthly basis as proof of completed hours that are received from the Corrections Standards Authority approved training providers.,Above target is positive,Percent,1,1,1,1,1,1,1,1,All newly hired deputy probation officers completed mandatory Core training on 12/19/2012.  A newly promoted supervisor completed supervisor Core on 03/15/13.  Two directors completed mandatory Core/MACC training on 05/17/13.,,A Public Protection,Yes,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,KPI111980626429577,Probation officer cost per active probationer,,,Above target is positive,Currency,0,863.45,1775,1775,2000,971.44,2000,2000,Increased cost due to hiring 15 DPO's in September 2012.,,,No,No,No,No,No,No
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,KPI111979626424553,"Probationers, PRCS, Mandatory Supervision clients per Probation Officer","Average number of active clients on community supervision (probation, Mandatory Supervision, and Post Release Community Supervision) supervised by the Adult Probation Department per case-carrying Deputy Probation Officer, as of the end of the reporting period.",Data on active clients and their supervising Deputy Probation Officer is entered and maintained in the department's case management system and reported weekly.,Above target is positive,General,0,102,81,81,50,64,50,50,"As of the end of FY13, APD supervised 5,396 active clients and had 67 case-carrying DPOs, for an average caseload size of 81:1.  This represents an average across the department, including high-high intensity supervision caseloads with an average caseload ratio of 19:1, high-intensity supervision caseloads with an average caseload ratio of 53:1, medium-intensity supervision caseloads with an average caseload ratio of 82:1, low intensity supervision caseloads with a caseload average of 704:1, and administrative caseloads with an average caseload ratio of 102:1.",,,No,No,No,No,Yes,No
