Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.35.35,Average occupancy rate in City-owned buildings managed by Real Estate,"Occupancy:  A department or third party is paying for the space. That might mean a space is under construction or is unoccupied, but it is under a department's or third party's control and they are making rental or work order payments (or capitalized interest payments are being received) for the space.",Collection Method: Manual records maintained by Real Estate. Timing:  Routinely available.,Below target is positive,Percent,0.998,0.99932,1,1,0.95,1,0.95,0.95,Last remaining vacancy was filled by DT during last 1/2 of FY.,,F General Administration & Finance,No,No,No,No,Yes,No,FALSE,-5.26
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.36.36,Average per sq ft cost of City-operated buildings compared to listing rates in Civic Center,"Costs of six City-owned buildings managed by the department, including 25 Van Ness, 30 Van Ness, One South Van Ness, 555 7th Street, 1660 Mission, and 1650 Mission, compared to Civic Center and South of Market area rents. ""Cost"" of city owned space is the per square foot rate charged to city dept, calculated as the combined total cost (debt service plus O&M) for all six bldgs, divided by the total sq. ft. of space.  ",Collection Method: Costs are directly from budget.  Area rents are from CB Richard Ellis company. Timing: Quarterly,Below target is positive,Percent,0.59,0.588,0.55,0.55,0.9,0.55,0.9,0.9,$41.25/sf was CBRE ave listing rate in civic center/van ness vs. $22.56/sf actual for city owned bldgs.,,F General Administration & Finance,No,No,No,No,No,No,TRUE,38.89
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",REAL ESTATE SERVICES,Keep rental rates for City tenants below market rates,ADM.FFI.03.38.38,Average per sq ft cost of office space lease portfolio compared to market rates,"Rental costs paid to lessors for City offices compared to market rates.  We beat the market on owned space, and on space we lease, which is what this metric measures.  By averaging the cost per sq. ft. of office space leased in Civic Center, and dividing by the market rate, we get this metric. The lower the percent, the better we are doing for compared to market. ",Collection Method: Lease records maintained by Real Estate staff. Timing:  Routinely available,Below target is positive,Percent,0.724,0.5184,0.45,0.45,0.85,0.52,0.85,0.85, ,,F General Administration & Finance,No,No,No,No,No,No,TRUE,47.06
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",TOURISM EVENTS,Promote San Francisco as a convention destination by providing high quality services,ADM.EIJ.01.13.13,Percentage of client post-convention survey ratings in the above average or higher category. *2014-2015 and 2015-2016 Targets reflect Moscone Center construction that is scheduled to begin fall 2014 and continue through 2016.,Average of client survey responses.  Clients are surveyed after each convention.,"Calculation: The convention operator (SMG) conducts the survey via an online form. All events are surveyed, but not all return the instrument. ",Above target is positive,Percent,0.87,0.86,0.83,0.83,0.8,0.8,0.7,0.7, ,Business and attendee satisfaction experiences continued in a very positive manner throughout the second half of FY14. ,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,3.75
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain a reasonable average maintenance cost per vehicle,ADM.FFJ.03.44.44,Average annual maintenance cost per general purpose vehicle,"For general purpose vehicles that are part of the vehicle leasing program, the average annual maintenance cost for all types of repairs performed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors.  Billing charges calculated by system. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Below target is positive,Currency,1255,1365,1156,1156,1100,1100,1200,1200,We are retiring older vehicles when major repairs are needed. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-5.09
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain a reasonable average maintenance cost per vehicle,ADM.FFJ.03.43.43,Average annual maintenance cost per Police vehicle,"For Police black and white (not undercover) vehicles, the average annual maintenance cost for all types of repairs performed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors.  Billing charges calculated by system. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Below target is positive,Currency,4531,5317,4492,4492,5200,5200,5300,5300,Average cost reduction may be due to addition of new patrol cars. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,TRUE,13.62
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain availability of City vehicles for department use,ADM.FFJ.02.42.42,Percentage of repairs of general purpose vehicles performed in less than 3 days,"For general purpose vehicles that are part of the vehicle leasing program, the elapsed time from creation of a maintainance job order to posting as completed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Above target is positive,Percent,0.75,0.8,0.69,0.69,0.7,0.7,0.67,0.65,"Since new vehicles are not being added to the leasing program, average age increases every year and more extensive repairs are needed. ",,F General Administration & Finance,Yes,No,No,No,No,No,FALSE,-1.43
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",VEHICLE & EQUIPMENT MAINTENANCE & FUELING,Maintain availability of City vehicles for department use,ADM.FFJ.02.41.41,Percentage of repairs of Police vehicles performed in less than 3 days,"For Police black and white (not undercover) vehicles, the elapsed time from creation of a maintainance job order to posting as completed.","Collection Method: Central Shops automated vehicle maintenance system called MAPCON.  Data entered by shop supervisors. Timing:  Routinely available, but special reports must be run out of MAPCON, a cumbersome process.",Above target is positive,Percent,0.71,0.6,0.72,0.72,0.69,0.7,0.69,0.69,"Department efficiency has improved with ongoing reorganization and replacement of lost staff, but aging of fleet may outweigh department efficiency. ",,F General Administration & Finance,Yes,No,No,No,No,No,TRUE,4.35
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Increase collection of fines and fees.,ADP.ASH.01.64.64,Amount of fines and fees,"This measure includes all fines and fees collected for APD.  Effective November 2007 the APD transferred the collection of revenues including fines, fees and restitution to the Courts Collections Unit pursuant to a change in state law.   The Courts Collections Unit collects and disburses restituion payments for APD which is not included in this measure and is recorded in the Courts Collections Unit Financial System.",Actual funds collected according to accounting records.,Above target is positive,Currency,386484,461745,462756,527547,267000,260000,267000,267000,Increase in Probation Fees due to system tracking and collection enforcement. ,,A Public Protection,Yes,No,No,No,No,No,TRUE,97.58
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,ADP.ASH.02.65.65,Percentage of available employees receiving performance appraisals,"This measure represents the percentage of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months in June.",All performance appraisals will be completed in June.,Above target is positive,Percent,1,1,1,1,1,1,1,1,Performance appraisals were completed for all active targeted employees.,,A Public Protection,Yes,No,No,No,No,No,FALSE,0
ADP,ADULT PROBATION,"Flores, Annalie",ADMINISTRATION - ADULT PROBATION,Maximize staff effectiveness,ADP.ASH.02.66.66,Percentage of eligible APD peace officer employees completing a minimum of 40 hours of mandated training,"The State of California Corrections Standards Authority requires that all Deputy Probation Officers complete a minimum of 40 hours of annual training as prescribed in Title 15 of the California Code of Regulations, Sections 130 et sequitur. The requirement is waived for employees on long term leaves of absence.",The Training Officer collects and retains this data in a computerized training database.  This training database is updated on a monthly basis as proof of completed hours that are received from the Corrections Standards Authority approved training providers.,Above target is positive,Percent,1,1,0.98,0.98,1,1,1,1,All sworn staff with the exception of 2 Deputy Probation Officers (DPO) completed all the training hours as required.  The two DPO that were unable to meet this requirement were on extended leave of absence.,,A Public Protection,Yes,No,No,No,No,No,FALSE,-2
